,fig_num,quantity,name_mfig,num_parts_mfig,id,set_num,name_set,year,theme_id
1422,fig-002161,1,Wyldstyle in black jumpsuit,5,13067,70803-1,Cloud Cuckoo Palace,2014,578
1423,fig-002162,1,Executron,4,13067,70803-1,Cloud Cuckoo Palace,2014,578
1424,fig-007019,1,"Unikitty, Light Aqua Foot, Open Mouth, Simple Pupils",14,13067,70803-1,Cloud Cuckoo Palace,2014,578
1425,fig-007021,1,"Emmet, Piece of Resistance, Happy / Scared, Red Plate",7,13067,70803-1,Cloud Cuckoo Palace,2014,578
1426,fig-002161,1,Wyldstyle in black jumpsuit,5,14208,70810-1,MetalBeard’s Sea Cow,2014,578
1427,fig-001485,1,Benny the Spaceman,5,14208,70810-1,MetalBeard’s Sea Cow,2014,578
1428,fig-002177,1,Vitruvius,6,14208,70810-1,MetalBeard’s Sea Cow,2014,578
1429,fig-002217,1,"Emmet, Piece of Resistance, Happy / Scared",6,14208,70810-1,MetalBeard’s Sea Cow,2014,578
1430,fig-007022,1,"Unikitty, Queasy",14,14208,70810-1,MetalBeard’s Sea Cow,2014,578
1431,fig-003982,1,"Ahsoka Tano, Padawan, Dark Brown Legs",4,234,75046-1,Coruscant Police Gunship,2014,158
1432,fig-004081,2,"Clone Shock Trooper, Red Markings, Brown Eyes",4,234,75046-1,Coruscant Police Gunship,2014,158
1433,fig-004082,1,"Anakin Skywalker, Black Robe, Dark Brown Legs (Clone Wars)",4,234,75046-1,Coruscant Police Gunship,2014,158
1434,fig-003982,1,"Ahsoka Tano, Padawan, Dark Brown Legs",4,13400,75013-1,Umbaran MHC (Mobile Heavy Cannon),2013,158
1435,fig-003983,1,"Clone Trooper, 212th Attack Battalion, Bright Light Orange Markings",4,13400,75013-1,Umbaran MHC (Mobile Heavy Cannon),2013,158
1436,fig-003984,2,Umbaran Soldier,5,13400,75013-1,Umbaran MHC (Mobile Heavy Cannon),2013,158
1437,fig-000352,1,"Man, White Torso with Shell Logo, Blue Legs, Red Hat",4,238,6695-1,Shell Tanker,1984,67
1438,fig-002118,1,Steve,3,239,21114-1,The Farm,2014,577
1439,fig-006480,1,Skeleton with Square Skull,6,239,21114-1,The Farm,2014,577
1440,fig-002118,1,Steve,3,558,21120-1,The Snow Hideout,2015,577
1441,fig-006478,1,Creeper,4,558,21120-1,The Snow Hideout,2015,577
1442,fig-006479,1,Snow Golem,15,558,21120-1,The Snow Hideout,2015,577
1443,fig-002118,1,Steve,3,6236,21128-1,The Village,2016,577
1444,fig-006478,1,Creeper,4,6236,21128-1,The Village,2016,577
1445,fig-006477,1,Zombie,3,6236,21128-1,The Village,2016,577
1446,fig-001683,1,Alex,3,6236,21128-1,The Village,2016,577
